Nachname,Vorname,Ersteinzug,Partei,Akadem. Grad
Frei,Thorsten,2014,CDU/CSU,
Fricke,Otto,,FDP,
Friedhoff,Dietmar,,AfD,
Friedrich (Hof),Hans-Peter,,CDU/CSU,Dr.
Frieser,Michael,2009,CDU/CSU,
Frömming,Götz,,AfD,Dr.
Frohnmaier,Markus,2017,AfD,
Funke,Fabian,,SPD,
Funke-Kaiser,Maximilian,,FDP,
Gädechens,Ingo,,CDU/CSU,
Gambir,Schahina,,Die Grünen,
Ganserer,Tessa,2022,Die Grünen,
Gassner-Herz,Martin,2022,FDP,
Gastel,Matthias,2013,Die Grünen,
Gauland,Alexander,,AfD,Dr.
Gava,Manuel,2022,SPD,
Gebhart,Thomas,,CDU/CSU,Dr.
Gehring,Kai,2005,Die Grünen,
Geissler,Jonas,,CDU/CSU,Dr.
Gelbhaar,Stefan,,Die Grünen,
Gerdes,Michael,2009,SPD,
Gerschau,Knut,2022,FDP,
Gerster,Martin,2006,SPD,
Gesenhues,Jan-Niclas,,Die Grünen,Dr.
Glaser,Albrecht,,AfD,
Glöckner,Angelika,2014,SPD,
Glogowski-Merten,Anikó,,FDP,
Gnauck,Hannes,,AfD,
Göring-Eckardt,Katrin,1998,Die Grünen,
Görke,Christian,2016,Gruppe Die Linke,
Gohlke,Nicole,2009,Gruppe Die Linke,
Gottschalk,Kay,,AfD,
Gräßle,Ingeborg,,CDU/CSU,Dr.
Gramling,Fabian,,CDU/CSU,
Grau,Dr. Armin,,Die Grünen,Prof.
Gremmels,Timon,2017,SPD,
Griese,Kerstin,,SPD,
Griewel,Fabian,,FDP,
Gröhe,Hermann,1995,CDU/CSU,
Grötsch,Uli,2014,SPD,
Grosse-Brömer,Michael,2002,CDU/CSU,
Grübel,Markus,2002,CDU/CSU,
Gründer,Nils,2022,FDP,
Grünke,Julian,2024,FDP,
Grütters,Monika,,CDU/CSU,Prof.
Grützmacher,Sabine,,Die Grünen,
Grund,Manfred,1994,CDU/CSU,
Grundl,Erhard,2018,Die Grünen,
Grundmann,Oliver,2014,CDU/CSU,
Güler,Serap,2022,CDU/CSU,
Güntzler,Fritz,,CDU/CSU,
Gürpinar,Ates,2021,Gruppe Die Linke,
Gutting,Olav,,CDU/CSU,
Gysi,Gregor,,Gruppe Die Linke,Dr.
Haase,Christian,,CDU/CSU,
Habeck,Robert,,Die Grünen,Dr.
Hacker,Thomas,,FDP,
Hagedorn,Bettina,2002,SPD,
Hagl-Kehl,Rita,2014,SPD,
Hahn,André,,Gruppe Die Linke,Dr.
Hahn,Florian,,CDU/CSU,
Hakverdi,Metin,2014,SPD,
Hanke,Reginald,2020,FDP,
Harder-Kühnel,Mariana Iris,,AfD,
Hardt,Jürgen,,CDU/CSU,
Hartewig,Philipp,,FDP,
Hartmann,Sebastian,,SPD,
Harzer,Ulrike,2022,FDP,
Haßelmann,Britta,2005,Die Grünen,
Hauer,Matthias,,CDU/CSU,
Haug,Jochen,,AfD,
Heck,Stefan,,CDU/CSU,Dr.
Heidenblut,Dirk,,SPD,
Heidt,Peter,,FDP,
Heil (Peine),Hubertus,,SPD,
Heil,Mechthild,2009,CDU/CSU,
Heiligenstadt,Frauke,2022,SPD,
Heilmann,Thomas,2012,CDU/CSU,
Heinrich,Gabriela,,SPD,
Heitmann,Linda,2022,Die Grünen,
Helferich,Matthias,,fraktionslos,
Helfrich,Mark,2014,CDU/CSU,
Helling-Plahr,Katrin,,FDP,
Hellmich,Wolfgang,2012,SPD,
Henneberger,Kathrin,2021,Die Grünen,
Hennig,Anke,2022,SPD,
Hennig-Wellsow,Susanne,2021,Gruppe Die Linke,
Hennrich,Michael,2002,CDU/CSU,
Henrichmann,Marc,,CDU/CSU,
Herbrand,Markus,,FDP,
Herbst,Torsten,2017,FDP,
Herrmann,Bernhard,,Die Grünen,
Heselhaus,Nadine,2022,SPD,
Hess,Martin,2017,AfD,
Hessel,Katja,,FDP,
Heubach,Heike,,SPD,
Heveling,Ansgar,,CDU/CSU,
Hierl,Susanne,,CDU/CSU,
Hilse,Karsten,,AfD,
Hirte,Christian,,CDU/CSU,
Hitschler,Thomas,2013,SPD,
Hocker,Gero Clemens,,FDP,Dr.
Höchst,Nicole,,AfD,
Höferlin,Manuel,,FDP,
Hönel,Bruno,,Die Grünen,
Hoffmann,Alexander,2014,CDU/CSU,
Hoffmann,Bettina,,Die Grünen,Dr.
Hoffmann,Christoph,,FDP,Dr.
Hofreiter,Anton,,Die Grünen,Dr.
Hohmann,Angela,2024,SPD,
Holm,Leif-Erik,,AfD,
Holtz,Ottmar von,,Die Grünen,
Hoppenstedt,Hendrik,,CDU/CSU,Dr.
Hoppermann,Franziska,2022,CDU/CSU,
Hostert,Jasmina,,SPD,
Houben,Reinhard,,FDP,
Huber,Johannes,,fraktionslos,
Hubertz,Verena,2021,SPD,
Hümpfer,Markus,,SPD,
Hüppe,Hubert,1991,CDU/CSU,
Hunko,Andrej,2009,Gruppe BSW,
Huy,Gerrit,2021,AfD,
in der Beek,Olaf,,FDP,
Irlstorfer,Erich,,CDU/CSU,
Jacobi,Fabian,,AfD,
Janecek,Dieter,2013,Die Grünen,
Janich,Steffen,2021,AfD,
Janssen,Anne,,CDU/CSU,
Jarzombek,Thomas,,CDU/CSU,
Jensen,Gyde,2017,FDP,
Jongen,Marc,,AfD,Dr.
Jung,Andreas,2005,CDU/CSU,
Jung,Ingmar,2018,CDU/CSU,
Junge,Frank,2014,SPD,
Juratovic,Josip,2006,SPD,
Jurisch,Ann-Veruschka,,FDP,Dr.
Kaczmarek,Oliver,,SPD,
Kaddor,Lamya,2022,Die Grünen,
Kaiser,Elisabeth,,SPD,
Kappert-Gonther,Kirsten,,Die Grünen,Dr.
Karaahmetoğlu,Macit,,SPD,
Karliczek,Anja,,CDU/CSU,
Kasper,Carlos,,SPD,
Kassautzki,Anna,2022,SPD,
Katzmarek,Gabriele,2014,SPD,
Kaufmann,Malte,,AfD,Dr.
Kaufmann,Dr.-Ing. habil. Michael,,AfD,Prof.
Kaufmann,Stefan,,CDU/CSU,Dr.
Keller,Rainer Johannes,2022,SPD,
Kellner,Michael,,Die Grünen,
Kemmer,Ronja,,CDU/CSU,
Kersten,Franziska,,SPD,Dr.
Keul,Katja,2009,Die Grünen,
Keuter,Stefan,2017,AfD,
Khan,Misbah,2022,Die Grünen,
Kiesewetter,Roderich,2009,CDU/CSU,
Kießling,Michael,,CDU/CSU,
Kindler,Sven-Christian,,Die Grünen,
Kippels,Georg,,CDU/CSU,Dr.
Kipping,Katja,2005,Gruppe Die Linke,
Kiziltepe,Cansel,2014,SPD,
Kleebank,Helmut,,SPD,
Klein,Karsten,,FDP,
Klein,Ottilie,,CDU/CSU,Dr.
Klein,Volkmar,2010,CDU/CSU,
Klein-Schmeink,Maria,,Die Grünen,
Kleinwächter,Norbert,2017,AfD,
Klinck,Kristian,,SPD,Dr.
Klingbeil,Lars,,SPD,
Klöckner,Julia,,CDU/CSU,
Klose,Annika,2021,SPD,
Kluckert,Daniela,,FDP,
Klüssendorf,Tim,2022,SPD,
Knoerig,Axel,2010,CDU/CSU,
Kober,Pascal,2009,FDP,
Köhler,Lukas,,FDP,Dr.
König,Anne,,CDU/CSU,
König,Jörn,,AfD,
Koeppen,Jens,2006,CDU/CSU,
Körber,Carsten,2014,CDU/CSU,
Kofler,Bärbel,,SPD,Dr.
Komning,Enrico,,AfD,
Konrad,Carina,,FDP,
Koob,Markus,2014,CDU/CSU,
Kopf,Chantal,2021,Die Grünen,
Korte,Jan,2005,Gruppe Die Linke,
Koß,Simona,2022,SPD,
Kotré,Steffen,,AfD,
Krämer,Philip,,Die Grünen,
Kraft,Laura,2022,Die Grünen,
Kraft,Rainer,,AfD,Dr.
Kramme,Anette,,SPD,
Kreiser,Dunja,2022,SPD,
Kretz,Jürgen,,Die Grünen,
Krichbaum,Gunther,,CDU/CSU,
Krings,Günter,,CDU/CSU,Dr.
Krischer,Oliver,2009,Die Grünen,
Kröber,Martin,2022,SPD,
Krumwiede-Steiner,Franziska,,Die Grünen,Dr.
Kruse,Michael,,FDP,
Kuban,Tilman,,CDU/CSU,
Kubicki,Wolfgang,,FDP,
Kühn (Tübingen),Christian,,Die Grünen,
Kühnert,Kevin,2021,SPD,
Künast,Renate,,Die Grünen,
Kuhle,Konstantin,,FDP,
Kurth,Markus,2002,Die Grünen,
Lahrkamp,Sarah,2022,SPD,
Lambsdorff,Alexander Graf,,FDP,
Lang,Ricarda,2022,Die Grünen,
Lange,Ulrich,,CDU/CSU,
Larem,Andreas,2022,SPD,
Laschet,Armin,,CDU/CSU,
Latendorf,Ina,2021,Gruppe Die Linke,
Launert,Silke,,CDU/CSU,Dr.
Lauterbach,Dr. Karl,,SPD,Prof.
Lay,Caren,2009,Gruppe Die Linke,
Lechte,Ulrich,,FDP,
Lehmann,Jens,2018,CDU/CSU,
Lehmann,Sven,,Die Grünen,
Lehmann,Sylvia,2020,SPD,
Lehrieder,Paul,2006,CDU/CSU,
Leikert,Katja,,CDU/CSU,Dr.
Leiser,Kevin,2022,SPD,
Lemke,Steffi,1994,Die Grünen,
Lenders,Jürgen,2021,FDP,
Lenkert,Ralph,2009,Gruppe Die Linke,
Lenz,Andreas,,CDU/CSU,Dr.
Leye,Christian,2021,Gruppe BSW,
Licina-Bode,Luiza,2022,SPD,
Lieb,Thorsten,,FDP,Dr.
Liebert,Anja,,Die Grünen,
Limbacher,Esra,,SPD,
Limburg,Helge,,Die Grünen,
Lindemann,Lars,2009,FDP,
Lindh,Helge,,SPD,
Lindholz,Andrea,,CDU/CSU,
Lindner,Christian,2010,FDP,
Lindner,Tobias,,Die Grünen,Dr.
Link (Heilbronn),Michael Georg,,FDP,
Linnemann,Carsten,,CDU/CSU,Dr.
Lips,Patricia,2002,CDU/CSU,
Lötzsch,Gesine,,Gruppe Die Linke,Dr.
Loop,Denise,,Die Grünen,
Loos,Bernhard,2018,CDU/CSU,
Lucassen,Rüdiger,,AfD,
Lucks,Max,2021,Die Grünen,
Luczak,Jan-Marco,,CDU/CSU,Dr.
Ludwig,Daniela,,CDU/CSU,
Lührmann,Anna,,Die Grünen,Dr.
Lütke,Kristine,,FDP,
Lugk,Bettina,2022,SPD,
Luksic,Oliver,2009,FDP,
Lutze,Thomas,2009,SPD,
Maas,Heiko,2012,SPD,
Machalet,Tanja,,SPD,Dr.
Mack,Klaus,,CDU/CSU,
Mackensen-Geis,Isabel,2019,SPD,
Magwas,Yvonne,,CDU/CSU,
Malottki,Erik von,,SPD,
Mann,Holger,2022,SPD,
Mannes,Astrid,,CDU/CSU,Dr.
Mansmann,Till,,FDP,
Mansoori,Kaweh,2021,SPD,
Martens,Zanda,,SPD,Dr.
Martin,Dorothee,,SPD,
Marvi,Parsa,2022,SPD,
Mascheck,Franziska,2022,SPD,
Mast,Katja,2006,SPD,
Mattfeldt,Andreas,2010,CDU/CSU,
Mayer (Altötting),Stephan,,CDU/CSU,
Mayer,Zoe,,Die Grünen,Dr.
Mayer-Lay,Volker,2022,CDU/CSU,
Mehltretter,Andreas,,SPD,
Mehmet Ali,Takis,2021,SPD,
Meiser,Pascal,2017,Gruppe Die Linke,
Meister,Michael,,CDU/CSU,Dr.
Mende,Dirk-Ulrich,,SPD,
Menge,Susanne,2022,Die Grünen,
Merz,Friedrich,,CDU/CSU,
Mesarosch,Robin,,SPD,
Metzler,Jan,2014,CDU/CSU,
Meyer,Christoph,,FDP,
Miazga,Corinna,2018,AfD,
Michaelsen,Swantje Henrike,2022,Die Grünen,
Michel,Kathrin,2021,SPD,
Middelberg,Mathias,,CDU/CSU,Dr.
Miersch,Matthias,,SPD,Dr.
Mieves,Matthias David,,SPD,
Mihalic,Irene,,Die Grünen,Dr.
Mijatović,Boris,2022,Die Grünen,
Mittag,Susanne,2014,SPD,
Möhring,Cornelia,2009,Gruppe Die Linke,
Möller,Siemtje,2017,SPD,
Mörseburg,Maximilian,,CDU/CSU,
Mohamed Ali,Amira,2017,Gruppe BSW,
Mohrs,Falko,2018,SPD,
Moll,Claudia,,SPD,
Moncsek,Mike,,AfD,
Monstadt,Dietrich,2010,CDU/CSU,
Moosdorf,Matthias,,AfD,
Mordhorst,Maximilian,2022,FDP,
Müller,Alexander,,FDP,
Müller,Axel,,CDU/CSU,
Müller,Bettina,2014,SPD,
Müller (Braunschweig),Carsten,,CDU/CSU,
Müller,Claudia,2017,Die Grünen,
Müller (Chemnitz),Detlef,,SPD,
Müller,Florian,,CDU/CSU,
Müller,Michael,2015,SPD,
Müller,Sascha,2022,Die Grünen,
Müller,Sepp,,CDU/CSU,
Müller (Erlangen),Stefan,,CDU/CSU,
Müller-Gemmeke,Beate,2009,Die Grünen,
Müller-Rosentritt,Frank,,FDP,
Müntefering,Michelle,2014,SPD,
Münz,Volker,2018,AfD,
Münzenmaier,Sebastian,2017,AfD,
Mützenich,Rolf,,SPD,Dr.
Nacke,Stefan,,CDU/CSU,Dr.
Nanni,Sara,2022,Die Grünen,
Nasr,Rasha,2022,SPD,
Nastic,Zaklin,2017,Gruppe BSW,
Naujok,Edgar,2021,AfD,
Nestle,Ingrid,,Die Grünen,Dr.
Nick,Ophelia,,Die Grünen,Dr.
Nickholz,Brian,2022,SPD,
Nicolaisen,Petra,,CDU/CSU,
Nietan,Dietmar,1999,SPD,
Nolte,Jan Ralf,,AfD,
Notz,Konstantin von,,Die Grünen,Dr.
Nouripour,Omid,2006,Die Grünen,
Nürnberger,Jörg,2022,SPD,
Oehl,Lennard,,SPD,
Oellers,Wilfried,2014,CDU/CSU,
Özdemir,Cem,1994,Die Grünen,
Özdemir (Duisburg),Mahmut,,SPD,
Özoğuz,Aydan,,SPD,
Oppelt,Moritz,,CDU/CSU,
Ortleb,Josephine,2018,SPD,
Oßner,Florian,2014,CDU/CSU,
Oster,Josef,,CDU/CSU,
Otte,Henning,2006,CDU/CSU,
Otte,Karoline,2022,Die Grünen,
Otten,Gerold,,AfD,
Pahlke,Julian,2021,Die Grünen,
Pahlmann,Ingrid,,CDU/CSU,
Pantazis,Christos,,SPD,Dr.
Papenbrock,Wiebke,,SPD,
Papendieck,Mathias,2022,SPD,
Pau,Petra,1998,Gruppe Die Linke,
Paus,Lisa,2009,Die Grünen,
Pawlik,Natalie,2022,SPD,
Peick,Jens,2022,SPD,
Pellmann,Sören,2017,Gruppe Die Linke,
Perli,Victor,2017,Gruppe Die Linke,
Peterka,Tobias Matthias,,AfD,
Petry,Christian,2014,SPD,
Philippi,Andreas,,SPD,Dr.
Piechotta,med. Paula,,Die Grünen,Dr.
Pilsinger,med. Stephan,,CDU/CSU,Dr.
Plobner,Jan,,SPD,
Ploß,Christoph,,CDU/CSU,Dr.
Plum,Martin,,CDU/CSU,Dr.
Pohl,Jürgen,,AfD,
Polat,Filiz,,Die Grünen,
Poschmann,Sabine,,SPD,
Post (Minden),Achim,,SPD,
Protschka,Stephan,,AfD,
Rabanus,Martin,,SPD,
Rachel,Thomas,1995,CDU/CSU,
Radomski,Kerstin,2014,CDU/CSU,
Radwan,Alexander,2014,CDU/CSU,
Raffelhüschen,Claudia,2022,FDP,
Rainer,Alois,,CDU/CSU,
Ramsauer,Peter,,CDU/CSU,Dr.
Redder,Volker,,FDP,Dr.
Rehbaum,Henning,,CDU/CSU,
Reichardt,Martin,,AfD,
Reichel,Markus,,CDU/CSU,Dr.
Reichinnek,Heidi,2021,Gruppe Die Linke,
Reinalter,Anja,,Die Grünen,Dr.
Reinhold,Hagen,2013,FDP,
Renner,Martin Erwin,2018,AfD,
Renner,Martina,2013,Gruppe Die Linke,
Reuther,Bernd,2017,FDP,
Rhie,Ye-One,,SPD,
Rief,Josef,2010,CDU/CSU,
Riexinger,Bernd,2017,Gruppe Die Linke,
Rimkus,Andreas,2014,SPD,
Rinck,Frank,2021,AfD,
Rinkert,Daniel,,SPD,
Rix,Sönke,2006,SPD,
Rößner,Tabea,,Die Grünen,
Röttgen,Norbert,,CDU/CSU,Dr.
Röwekamp,Thomas,2022,CDU/CSU,
Rohde,Dennis,,SPD,
Rohwer,Lars,2022,CDU/CSU,
Roloff,Sebastian,,SPD,
Rosemann,Martin,,SPD,Dr.
Rosenthal,Jessica,2021,SPD,
Roth (Augsburg),Claudia,,Die Grünen,
Roth (Heringen),Michael,,SPD,
Rothfuß,Rainer,,AfD,Dr.
Rottmann,Manuela,,Die Grünen,Dr.
Rouenhoff,Stefan,,CDU/CSU,
Rudolph,Thorsten,,SPD,Dr.
Rudolph,Tina,,SPD,
Rüddel,Erwin,2010,CDU/CSU,
Rüffer,Corinna,2013,Die Grünen,
Rützel,Bernd,,SPD,
Ruf,Nadine,,SPD,
Rupprecht,Albert,2002,CDU/CSU,
Ryglewski,Sarah,,SPD,
Saathoff,Johann,,SPD,
Sacher,Michael,2022,Die Grünen,
Santos-Wintz,Catarina dos,,CDU/CSU,
Sattelberger,h. c. Thomas,,FDP,Dr.
Sauter,Christian,2018,FDP,
Schäfer (Bochum),Axel,,SPD,
Schäfer,Ingo,,SPD,
Schäfer,Jamila,2021,Die Grünen,
Schäfer,Sebastian,,Die Grünen,Dr.
Schäffler,Frank,2005,FDP,
Schätzl,Johannes,,SPD,
Schäuble,Wolfgang,,CDU/CSU,Dr.
Schamber,Rebecca,2022,SPD,
Schattner,Bernd,2021,AfD,
Schauws,Ulle,2013,Die Grünen,
Scheer,Nina,,SPD,Dr.
Schenderlein,Christiane,,CDU/CSU,Dr.
Scheuer,Andreas,2002,CDU/CSU,
Schieder,Marianne,2005,SPD,
Schiefner,Udo,2014,SPD,
Schielke-Ziesing,Ulrike,,AfD,
Schierenbeck,Peggy,2022,SPD,
Schiller,Manfred,2024,AfD,
Schimke,Jana,,CDU/CSU,
Schisanowski,Timo,2022,SPD,
Schmid,Christoph,2022,SPD,
Schmid,Nils,,SPD,Dr.
Schmidt (Wetzlar),Dagmar,,SPD,
Schmidt,Eugen,2021,AfD,
Schmidt,Jan Wenzel,2021,AfD,
Schmidt,Stefan,2017,Die Grünen,
Schmidt,Uwe,2018,SPD,
Schneider (Erfurt),Carsten,,SPD,
Schneider,Daniel,2022,SPD,
Schneider,Jörg,,AfD,
Schnieder,Patrick,2010,CDU/CSU,
Schön,Nadine,,CDU/CSU,
Schönberger,Marlene,,Die Grünen,
Scholz,Olaf,1998,SPD,
Schraps,Johannes,,SPD,
Schreider,Christian,2022,SPD,
Schreiner,Felix,2018,CDU/CSU,
Schrodi,Michael,,SPD,
Schröder,Christina-Johanne,,Die Grünen,
Schröder,Ria,2022,FDP,
Schulz,Anja,2021,FDP,
Schulz,Uwe,,AfD,
Schulz-Asche,Kordula,,Die Grünen,
Schulze,Svenja,2013,SPD,
Schwabe,Frank,,SPD,
Schwartze,Stefan,2010,SPD,
Schwarz,Andreas,,SPD,
Schwarz,Armin,2022,CDU/CSU,
Schwarzelühr-Sutter,Rita,,SPD,
Seestern-Pauly,Matthias,2018,FDP,
Seidler,Stefan,,fraktionslos,
Seif,Detlef,,CDU/CSU,
Seiter,Dr. Stephan,,FDP,Prof.
Seitz,Thomas,2017,fraktionslos,
Seitzl,Lina,,SPD,Dr.
Sekmen,Melis,2022,CDU/CSU,
Semet,Rainer,2022,FDP,
Sichert,Martin,,AfD,
Silberhorn,Thomas,2002,CDU/CSU,
Simon,Björn,,CDU/CSU,
Sitte,Petra,,Gruppe Die Linke,Dr.
Skudelny,Judith,,FDP,
Slawik,Nyke,2022,Die Grünen,
Sorge,Tino,,CDU/CSU,
Spahn,Jens,2002,CDU/CSU,
Spallek,Anne Monika,,Die Grünen,Dr.
Spaniel,Dirk,,AfD,Dr.
Spellerberg,Merle,2022,Die Grünen,
Springer,René,2017,AfD,
Stadler,Svenja,2014,SPD,
Staffler,Katrin,,CDU/CSU,
Stahr,Nina,2022,Die Grünen,
Stamm-Fibich,Martina,2014,SPD,
Stark-Watzinger,Bettina,2017,FDP,
Steffen,Till,,Die Grünen,Dr.
Stefinger,Wolfgang,,CDU/CSU,Dr.
Stegemann,Albert,2014,CDU/CSU,
Stegner,Ralf,,SPD,Dr.
Stein,Mathias,,SPD,
Steiniger,Johannes,,CDU/CSU,
Steinmüller,Hanna,2022,Die Grünen,
Stetten,Christian Freiherr von,,CDU/CSU,
Sthamer,Nadja,2022,SPD,
Stier,Dieter,,CDU/CSU,
Stockmeier,Konrad,,FDP,
Stöber,Klaus,2021,AfD,
Stöcker,Diana,2022,CDU/CSU,
Storch,Beatrix von,,AfD,
Storjohann,Gero,2002,CDU/CSU,
Strack-Zimmermann,Marie-Agnes,,FDP,Dr.
Stracke,Stephan,2009,CDU/CSU,
Strasser,Benjamin,2017,FDP,
Straubinger,Max,1995,CDU/CSU,
Strengmann-Kuhn,Wolfgang,,Die Grünen,Dr.
Stüwe,Ruppert,2022,SPD,
Stumpp,Christina,2021,CDU/CSU,
Taher Saleh,Kassem,2021,Die Grünen,
Tatti,Jessica,2017,Gruppe BSW,
Tausend,Claudia,2014,SPD,
Tebroke,Hermann-Josef,,CDU/CSU,Dr.
Tesfaiesus,Awet,,Die Grünen,
Teuteberg,Linda,2017,FDP,
Teutrine,Jens,,FDP,
Theurer,Michael,2017,FDP,
Thews,Michael,2014,SPD,
Thies,Hans-Jürgen,2018,CDU/CSU,
Thomae,Stephan,,FDP,
Throm,Alexander,,CDU/CSU,
Tillmann,Antje,2002,CDU/CSU,
Timmermann-Fechter,Astrid,2014,CDU/CSU,
